Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,It seems logical that you would need to prepare the tattoo ink in the cups before starting to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The event 1 describes the athletic man performing the shot put, and event 2 describes the aftermath of the throw, including his reaction to the distance he threw and the display of his score, so it is likely that event 1 precedes event 2."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,No,"The event 'A girl holds up the start card' suggests a racing or competition context, while 'A man falls off his bike hard' does not provide enough information to indicate when or why the fall occurred. The events seem unrelated and could have occurred at different times."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,"The woman's seat sliding forward and backward is likely a result of her pulling on the equipment, which suggests that event 1 (the woman being seated) must precede event 2 (the seat sliding)."
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,Yes,"It seems likely that the celebration in Event 1 occurs before the preparation of the wet suits and life jackets in Event 2, suggesting that the two events are causally related and occur in sequence."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The dog is performing tricks to catch frisbees, which suggests that the first event is taking place during the second event, as the woman is playing with the dog."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"The events are likely to be from the same context, such as a commercial or a video about a hair salon, and Event 1 describes the content of a commercial or video, which may have been interrupted or paused for a brief moment before showing Event 2, the logo and website of the hair salon."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,Yes,"The event 1 implies that the man has finished the ceiling and is walking away, which is likely to happen after he has completed the task. Therefore, it is likely that event 2, the man standing on stilts, occurs before or at the same time as event 1, but not after event 1."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,The second event 'A man welds a large steel construction drill' must occur before the first event 'The man finishes welding and the metal glows red hot' because the first event implies that welding is in progress.
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits on the screen typically appear after the content of a movie or TV show has finished, which would include the scene of a gym filled with dancing people."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,Yes,"It is likely that the girl in Event 1 was involved in the sundae making process and the lady in Event 2 was the one making or serving the sundae, so Event 1 likely precedes Event 2."
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,The guy must reach into the hole in the ice and pull on the string before he can bring a fish from the ice attached to the string.
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The close-up shot of the purple material with wax melted onto it suggests that the ironing process has just been completed, and the next event shows the man picking up a small container of purple wax, so it is likely that the ironing is being followed by the application of wax, establishing a temporal relationship between the two events."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,Yes,"The first event implies that the girl in pink dress and the girl in Wonder Woman costume are taking turns playing or fixing the tiles, which suggests that the girl in Wonder Woman costume plays hopscotch after the girl in pink dress continues to play, making Event 1 a precursor to Event 2."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,No,"The man is already standing in the field in both events, so there is no implied sequence or temporal relationship between them."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The event of removing the mic and the boy starting to move his head wildly suggests that the performance has started, and the second event is a continuation of the performance, so there is a temporal relationship between the two events."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,"The man must throw the frisbees after he holds them in his hand and talks to the camera, making the throwing event temporally dependent on the holding event."
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,Yes,"It is likely that the man hit a long shot down a slope and won the trophy as a result, implying that the events are causally linked and in a temporal sequence."
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,Yes,"The man stops playing and stands up, and then the man with the white hat leads them, suggesting that the events are sequential with the first event occurring before the second."
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,No,"There is no clear connection between scoring in a game and playing hurling, as they are two unrelated activities."
21,A person is walking through a display of numerous sail boats .,The man sails through the hard waters very quickly .,NA,Yes,It is likely that the man walks through the display of sail boats before he sails through the hard waters.
22,A young woman cleans the engine area of a car .,A young man sprays down a white truck .,NA,Yes,"Cleaning the engine area is a preparation for washing the car, so the young man likely sprays down the truck after the young woman cleans the engine area."
23,"Their father walks by , pushing the baby .","Two children , a boy and girl , are swinging gently on a swing set .",NA,Yes,"The event in Event 1 implies that the father may have just finished pushing the baby, which would have occurred before the children start swinging on the swing set, making it likely that Event 1 precedes Event 2."
24,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .","The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",NA,Yes,"The outro screen and logo are likely part of the ending credits of a video or a public service announcement, and the series of clips about skateboarding accidents are the main content of the video, suggesting that the events happen in sequence, with the video finishing with the outro screen."
25,The end titles appear on a black screen .,The lady with the hose is seen again .,NA,Yes,"The most common context where titles appear on a black screen is at the end of a movie or film, so it is likely that the lady with the hose is seen again after the titles appear."
26,man is standing in the sea surfing a wave .,a lot of people are on surfboards on the sea .,NA,Yes,"It is likely that the people on surfboards (Event 2) are also riding waves like the man in Event 1, so Event 2 follows Event 1 in time."
27,"The third time when he returns , he throws the ball and hits a strike one more time .","He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",NA,Yes,"The event 'He steps in the first time...' likely precedes the event 'The third time when he returns...' as it implies the first strike was hit, and then he returns for subsequent frames."
28,A slinky is thrown and a girl hops to where the slinky dropped .,Two young women are talking to each other .,NA,Yes,"The girl throwing the slinky likely happened before she hopped to where it dropped, so there is a causal and temporal relationship between the two events."
29,He touches his cheek again .,We then see an animation and the closing titles .,NA,Yes,"The event of touching his cheek is likely the final action in a scene or episode, and the closing titles is the next sequence that follows, indicating a clear temporal order."
30,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,Yes,"The event 'They stop playing' implies that there was some activity happening before, which is then terminated, and then the man stands up, making it likely that the two events are temporally related with Event 1 preceding Event 2."
31,Several rafts then appear and many people are white water rafting and flipping over .,A man then appears on the side with a paddle dancing on top of the rocks as he watches the others continue to kayak and fall into the water each change they hit a rock or encounter a wave .,NA,Yes,"The appearance of the rafts in Event 1 implies that the people are white water rafting, and the man with the paddle in Event 2 seems to be watching this activity, so it is likely that Event 2 happens after Event 1."
32,The   man fills he bucket and dumps it out .,The boy sits down and rocks back and forth .,NA,Yes,"It is likely that the man filling the bucket and dumping it out happens before the boy sits down and rocks back and forth, as the boy's action requires a water or sand-filled bucket to rock."
33,He drops the weight down onto a mat .,He bends down and lifts a large weight over his head .,NA,Yes,"Event 1 is likely the first step in the process, where he lifts the weight and then drops it, and then bends down and lifts it over his head in Event 2."
34,"Once the first car is finished , the lady leaves and now the boy is left outside by himself getting the rest of the snow off of the vehicle .",The lady is dressed in a long beige jacket and ear muffs and she is scraping the snow off of the other end of the car .,NA,Yes,"The lady must have been present and finishing the scraping off the first car before she leaves, leaving the boy to finish scraping the snow off the second car."
35,"The third time when he returns , he throws the ball and hits a strike one more time .","When he returns the fourth time , he hits another strike by knocking down all the pins .",NA,Yes,"The sequence of 'returns' implies that there is a progression in time, and 'Event 1' must occur before 'Event 2' in this sequence."
36,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,"Event 1 describes the actions of pouring liquid into the glasses, which is a sequence of actions that logically follows the actions described in Event 2, where the woman gets the glasses."
37,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,No,"The scrolling screen with names and the scene with boys on skateboards seem to be unrelated and don't have a clear temporal connection, as one doesn't seem to be a direct consequence of the other."
38,He talks and we see a split screen of the accordion .,We see his hand up close as he plays .,NA,Yes,"Since he talks and then we see the accordion, it is likely that he is talking while playing the accordion, which would make Event 2 occur after Event 1."
39,"The next black screen has a different set of white words that read "" Who will win ? ? ? "" .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,"The second event is likely a logical progression from the first event, as the black screen with the words 'Who will win ? ? ?' is likely the introduction or lead-up to the arm wrestling match being announced."
40,She wets the toothbrush in the sink and begins to brush her teeth .,She pushes the button and puts toothpaste on the toothbrush .,NA,Yes,Event 1 must occur before Event 2 because she cannot put toothpaste on the toothbrush without first wetting it in the sink.
41,The medal is cooled down and the finished weld can be seen .,A man welds a large steel construction drill .,NA,Yes,"It is likely that the welding process (Event 2) precedes the cooling down of the medal (Event 1), as the medal would need to be cooled down after the welding process is complete."
42,A man kneels in the grass as two men flip and one jump over their back .,  A small boy enters the ring then two girls flip through .,NA,Yes,"The men flipping and jumping over the kneeling man suggest a performance or demonstration, and the small boy entering the ring and the girls flipping through are likely part of the same event or performance, making it likely that the events happen in a temporal sequence."
43,Two men are on a squash court playing a game   of squash with each other .,"During the game , they also pause several times to reset when they start a new game .",NA,Yes,"The events are related in that Event 2 is a part of Event 1, as pausing to reset is a common action that happens during a game."
44,A girl in a red bathing suit stretches and walks to the edge of the dive platform and prepares to dive in a diving competition .,The diver jumps back off of the dive platform and spins forward for a head first entry .,NA,Yes,"The girl preparing to dive and then jumping off the platform suggests a clear temporal sequence, where the first event precedes the second."
45,He talks to the camera again .,He begins to play the guitar .,NA,Yes,"It is likely that talking to the camera occurs before playing the guitar, as it is a common convention for performers to introduce themselves or explain their music before performing."
46,The people in the audience cheer and the shot is seen again in slow motion .,"A man is shown running that leads into an intro , followed by a photograph of him .",NA,Yes,"The event 'A man is shown running that leads into an intro' likely precedes the event 'The people in the audience cheer and the shot is seen again in slow motion', as it appears to be part of the intro or opening sequence of a sports event, and the cheering and slow motion replay of a shot is a common feature of sports broadcasts."
47,A man tunes his guitar and then starts to strum it .,  The man plays a few chords and continues to fiddle with his guitar .,NA,Yes,"The second event describes the man continuing to play his guitar, which implies that the first event (tuning the guitar) occurred before this action."
48,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,"The camera zooming out implies that it is done after the camera has already been focused on the man, which is likely after he started playing and talking to the camera."
49,He keeps swinging the racket in the room .,A man in an orange shirt is playing wall ball .,NA,No,"There is no explicit connection between the man in the orange shirt and the man in the original event, so it is unclear if the events are related."
50,The race start and they race along an uneven course with spectators watching .,A number of bikers line up at a race starting line .,NA,Yes,The race start event in event 1 implies that the bikers lining up in event 2 must have occurred immediately before the start of the race.
51,He aims and throws more darts and walks over one more time looking back at the camera .,He throws several more darts and then walks over the board and grabs the darts .,NA,Yes,"Event 1 'He aims and throws more darts' implies that the darts have been thrown, and then he walks back to get more, which is captured in Event 2 'He throws several more darts'."
52,A man in a blue shirt stands behind a fence behind him .,A man swings a ball on a chain around his body and throws it behind him .,NA,No,"The events do not appear to have a causal or sequential relationship, and it is unclear which event comes first."
53,They set the barbells down before showing another man doing the same .,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .",NA,Yes,Event 1 ('They set the barbells down') likely occurs before Event 2 ('They lay down on mats...') since one cannot do sit-ups and arm lifts with barbells set up.
