Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,It is likely that the tattoo artist must prepare the ink in the cups before beginning to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The man throws the shot put (Event 1) and then the score is shown (Event 2), indicating a sequence of events, with the throwing coming before the scoring."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,Yes,"It is likely that the man fell off his bike after the start card was held up, indicating the start of the bike race."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,The woman must be seated on the equipment before she can pull the seat forward and backward.
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,Yes,"The fact that the group is 'then' seen doing something suggests that the cheering and celebrating in Event 1 precedes the actions in Event 2, likely indicating that the group is celebrating before getting ready for a water-based activity."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The event in Event 1 is likely to be a continuation of the activity described in Event 2, as the woman is playing with a dog and holding frisbees, and the person in Event 1 is performing tricks to get the frisbees."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"The events seem to be describing a commercial or advertisement, where the man's brief talk and the black screen with foreign letters could be the introduction or credits, followed by the hair styling sequence, and finally the logo and website screen, which would be the conclusion or tagline."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,Yes,"The man must have finished the ceiling before he walked away, and the event of him standing on stilts while in front of a wall is likely to occur after he has finished the ceiling and walked away."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The event 'The man finishes welding' is the result of the event 'A man welds a large steel construction drill', so it is likely that the second event precedes the first."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits on the screen typically appear after the main content, such as the dancing people, has finished."
