Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,"It is likely that he places the ink into the cups before beginning to outline the tattoo, as the ink is needed to create the tattoo."
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The event of throwing the shot put is likely to occur before the event of pointing to himself and showing his score, as the score is typically determined after the throw."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,Yes,"The start card is typically held up to signal the start of a race or competition, and the man falling off his bike is likely a result of the start of the race, so the events are likely to occur in sequence."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,"The woman's seat sliding forward and backward implies that she is using the equipment, which is likely to happen after she is seated on it."
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,Yes,"The cheer and celebration in the first event likely occurs after the event of getting wet, which is implied by the people putting on wet suits and life jackets, suggesting that the two events are consecutive."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The event in Event 1 is likely to occur after the event in Event 2, as the woman is holding frisbees and playing with a dog outside, and then the person jumps on her back and performs tricks to catch the frisbees, suggesting that the dog and frisbees are already present and being played with before the tricks begin."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"The events seem to be describing a commercial or advertisement for a hair salon, where the man's brief talk is followed by a black screen with foreign letters, and then the hair braiding process is shown, which is consistent with the hairdresser speaking and then showing the logo and website at the end."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,Yes,"The man must have finished the ceiling before he walks away, and it is likely that he walked around the room to grab more plaster before finishing the ceiling, so the events are likely to be in a temporal sequence."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The man must weld the steel construction drill before it glows red hot, as the welding process is what causes the metal to heat up."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits on the screen typically appear after the main content of a movie or TV show has ended, which in this case is the scene of the gym filled with dancing people."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,Yes,"The girl in event 1 is likely the result of the lady in event 2 having a sundae, as the red goo, melted ice cream, and whipped cream suggest a dessert-related accident or mishap."
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,"The guy must bring the fish from the ice after pulling it out with the string, so Event 1 likely occurs after Event 2."
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The event of putting down the iron and melting wax onto the purple material implies that the wax was removed from the container, which is described in event 2, so the events are likely to be consecutive."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,Yes,"The first event describes a sequence of actions, where the girl in pink dress fixes the tiles, then continues to play, and then the girl in Wonder Woman costume plays hopscotch. This implies that the events are happening in a specific order, and the second event provides additional information about the costumes worn by the girls, which is consistent with the sequence described in the first event."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,Yes,"The second event is a continuation of the first event, as the man is still standing in the same location."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The removal of the mic and the boy's wild head movements suggest that the mic was previously in use, and the continuation of the performance implies that the first event is a part of the same performance as the second event."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,"The man's action of throwing the frisbees is likely to occur after he has finished talking to the camera and holding the frisbees, as it is a natural progression of the activity."
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,Yes,It is likely that the man hits the long shot and then receives the trophy as a reward or recognition for his achievement.
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,Yes,"The event 'They stop playing' implies that there was some activity happening before, and the event 'The man stands up' is a consequence of that activity stopping, so it is likely that Event 1 precedes Event 2."
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,No,The two events describe different activities (scoring in a game and playing hurling) and there is no clear temporal relationship between them.
21,A person is walking through a display of numerous sail boats .,The man sails through the hard waters very quickly .,NA,Yes,"It is likely that the person in Event 1 is walking through the display of sailboats before they actually sail one, as described in Event 2."
22,A young woman cleans the engine area of a car .,A young man sprays down a white truck .,NA,No,There is no clear reason why one event must precede the other. They could be happening simultaneously or at different times.
23,"Their father walks by , pushing the baby .","Two children , a boy and girl , are swinging gently on a swing set .",NA,Yes,"The event 'Their father walks by, pushing the baby' implies that the baby is being pushed on the swing set, which is also mentioned in event 2, suggesting a temporal relationship between the two events."
24,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .","The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",NA,Yes,"The outro screen with the safety message is likely to appear after the series of clips showing people skateboarding, as it is a common practice to include a safety message at the end of a video or advertisement."
25,The end titles appear on a black screen .,The lady with the hose is seen again .,NA,Yes,"The end titles typically appear after the main content of a movie or show has finished, so it is likely that the lady with the hose is seen again before the end titles appear."
26,man is standing in the sea surfing a wave .,a lot of people are on surfboards on the sea .,NA,Yes,"It is likely that the people in event 2 are surfing the same wave as the man in event 1, so event 1 must occur before event 2."
27,"The third time when he returns , he throws the ball and hits a strike one more time .","He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",NA,Yes,"The second event describes the first time he returns to bowl, and the first event describes the third time he returns to bowl, implying that the events occur in sequence."
28,A slinky is thrown and a girl hops to where the slinky dropped .,Two young women are talking to each other .,NA,Yes,"The girl's action of hopping to where the slinky dropped implies that the slinky was thrown before she moved, so the events have a causal relationship."
29,He touches his cheek again .,We then see an animation and the closing titles .,NA,Yes,"The use of 'then' in the second event suggests that it occurs after the first event, implying a temporal relationship."
30,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,Yes,"The event 'They stop playing' implies that there was an activity happening before, and the event 'A man in a white hat is leading them' is likely to occur after the activity has stopped, as the man in the white hat is likely to be leading them in a new activity or direction."
31,Several rafts then appear and many people are white water rafting and flipping over .,A man then appears on the side with a paddle dancing on top of the rocks as he watches the others continue to kayak and fall into the water each change they hit a rock or encounter a wave .,NA,Yes,"The man with the paddle appears to be watching the white water rafting and kayaking, suggesting that the events are happening at the same time or in close succession."
32,The   man fills he bucket and dumps it out .,The boy sits down and rocks back and forth .,NA,Yes,"The man filling the bucket and dumping it out likely precedes the boy sitting down and rocking back and forth, as the boy's activity appears to be using the bucket or its contents."
33,He drops the weight down onto a mat .,He bends down and lifts a large weight over his head .,NA,Yes,"The order of the events suggests that he drops the weight down onto a mat first, and then bends down and lifts a large weight over his head, implying a sequence of actions."
34,"Once the first car is finished , the lady leaves and now the boy is left outside by himself getting the rest of the snow off of the vehicle .",The lady is dressed in a long beige jacket and ear muffs and she is scraping the snow off of the other end of the car .,NA,Yes,"The lady leaves after the first car is finished, which implies that Event 1 occurs before Event 2."
35,"The third time when he returns , he throws the ball and hits a strike one more time .","When he returns the fourth time , he hits another strike by knocking down all the pins .",NA,Yes,"The events are likely describing a bowling game, where the 'returns' refer to the player's turns. The second event occurs after the first, as the player returns for the fourth time after previously returning for the third time."
36,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,"The woman's actions in Event 1 (pouring liquid into the shot glass and cocktail glass, and adding more liquid) likely occur after the actions in Event 2 (touching the bottles and getting the glasses), as the woman needs to obtain the glasses and bottles before she can prepare the cocktail."
37,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,No,"There is no clear connection between the two events. The first event appears to be a title sequence or credits, while the second event appears to be a scene from a video. There is no logical temporal relationship between the two."
38,He talks and we see a split screen of the accordion .,We see his hand up close as he plays .,NA,Yes,"The event of him talking is likely to precede the event of him playing the accordion, as it is common for someone to introduce or explain what they are about to do before performing an action."
39,"The next black screen has a different set of white words that read "" Who will win ? ? ? "" .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,"The second event appears to be a continuation of the first event, as the first event sets the stage for the arm wrestling match, and the second event announces the start of the match."
40,She wets the toothbrush in the sink and begins to brush her teeth .,She pushes the button and puts toothpaste on the toothbrush .,NA,Yes,"The event of wetting the toothbrush in the sink must occur before brushing teeth, and the event of putting toothpaste on the toothbrush must occur before brushing teeth, so the events are likely to occur in this order."
41,The medal is cooled down and the finished weld can be seen .,A man welds a large steel construction drill .,NA,Yes,"The weld must be done before the medal can be cooled down and the finished weld can be seen, as the cooling down process is likely a step in the welding process."
42,A man kneels in the grass as two men flip and one jump over their back .,  A small boy enters the ring then two girls flip through .,NA,Yes,"The event in Event 1 is likely a description of a martial arts or gymnastics activity, and the boy entering the ring in Event 2 is likely the start of the activity, making it likely that the events occur in sequence."
43,Two men are on a squash court playing a game   of squash with each other .,"During the game , they also pause several times to reset when they start a new game .",NA,Yes,"The second event is a part of the first event, as they are describing the same game of squash, and the pause to reset is a common action that occurs during a game."
44,A girl in a red bathing suit stretches and walks to the edge of the dive platform and prepares to dive in a diving competition .,The diver jumps back off of the dive platform and spins forward for a head first entry .,NA,Yes,"The girl in the red bathing suit must first prepare to dive and then jump off the platform, so Event 1 precedes Event 2."
45,He talks to the camera again .,He begins to play the guitar .,NA,Yes,"It is likely that he talks to the camera before he begins to play the guitar, as it is common for an introduction or explanation to precede a performance."
46,The people in the audience cheer and the shot is seen again in slow motion .,"A man is shown running that leads into an intro , followed by a photograph of him .",NA,Yes,"The event 'a man is shown running' likely precedes the event 'the people in the audience cheer', as the running is likely the action that leads to the cheering."
47,A man tunes his guitar and then starts to strum it .,  The man plays a few chords and continues to fiddle with his guitar .,NA,Yes,"The second event is likely to occur after the first event, as the man has already tuned his guitar before playing a few chords and fiddling with it."
48,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,The camera zooming out on the man playing the accordion likely occurs after the camera has focused on him and he has started talking to the camera.
49,He keeps swinging the racket in the room .,A man in an orange shirt is playing wall ball .,NA,Yes,"The man in the orange shirt is likely playing wall ball with the racket, so the event of swinging the racket must have occurred before the event of playing wall ball."
